FIPS,x,y,caves,WNS,tau,area,sr,Hibernate,MaherWNS
28111,665168.0746,-682282.4467,0,Inf,140.7272727,1669.93,12,6,Inf
28113,531365.4021,-691206.1614,0,Inf,126.1111111,1064.65,12,6,Inf
28115,636626.2808,-342965.6709,0,Inf,160.6666667,1234.34,12,7,Inf
28117,678519.3906,-296714.458,0,Inf,172.2222222,1093.92,15,10,Inf
28119,521730.0654,-347967.7389,0,Inf,153.125,1061.9,11,6,Inf
28121,566560.0642,-567573.2192,1,Inf,143.3125,2087.92,12,6,Inf
28123,603742.3301,-549275.0812,0,Inf,145.8888889,1622.17,12,6,Inf
28125,482403.1874,-506981.4929,0,Inf,139.125,1015.38,12,6,Inf
28127,570280.6239,-606996.8364,0,Inf,151.9166667,1445.06,12,6,Inf
28129,609220.6465,-592678.4069,6,7,155.9333333,1756.36,12,6,8
28131,656398.234,-725888.3599,0,Inf,119.5,1160.65,11,6,Inf
28133,498897.461,-421116.0348,0,Inf,138.75,1767.63,11,6,Inf
28135,534387.0345,-379849.3707,0,Inf,120.8181818,1612.44,11,6,Inf
28137,551289.1317,-301157.1177,0,Inf,167.4285714,1044.15,12,7,Inf
28139,643480.4419,-281236.421,2,Inf,174.75,1227.09,15,10,Inf
